Designator,Mid X,Mid Y,Rotation,Layer
C101,114.6625,-93.0625,0.0,top
C102,112.8625,-93.0625,180.0,top
C103,116.5125,-93.4125,180.0,top
C104,110.8925,-93.0625,180.0,top
C105,112.8125,-83.2625,0.0,top
C106,120.0625,-85.1125,270.0,top
C107,116.0625,-94.78,90.0,top
C108,116.5125,-92.4625,180.0,top
C109,111.4125,-92.1125,180.0,top
C110,135.8,-86.7,0.0,top
C111,138.0,-90.15,270.0,top
C112,130.25,-91.9,90.0,top
C113,132.9,-88.9,90.0,top
C114,132.48,-90.65,0.0,top
C115,138.0,-87.97,270.0,top
C116,131.4,-95.6,90.0,top
C117,139.3,-76.4,0.0,top
C118,120.2,-79.52,90.0,top
C119,143.1,-92.0,90.0,top
C120,133.6,-96.6,270.0,top
C121,123.8,-93.45,0.0,top
C122,122.65,-88.18,270.0,top
C123,122.65,-91.22,90.0,top
D101,131.9,-85.7,180.0,top
D102,136.75,-92.05,0.0,top
D103,143.1,-90.0,270.0,top
D104,109.0,-71.75,0.0,top
D105,109.0,-73.75,0.0,top
D106,109.0,-75.75,0.0,top
D107,109.0,-77.75,0.0,top
D108,109.0,-79.75,0.0,top
D109,124.3,-82.4,90.0,top
D110,125.9,-82.3875,90.0,top
F101,136.2,-83.8375,270.0,top
J101,143.1,-83.0,0.0,top
J102,125.0,-74.0,0.0,top
L101,133.2,-92.5,180.0,top
Q101,133.6,-79.4,90.0,top
Q102,138.3875,-74.2,0.0,top
R101,110.7125,-89.11,90.0,top
R102,138.95,-87.94,270.0,top
R103,139.9,-87.94,90.0,top
R104,136.95,-75.84,90.0,top
R105,137.9,-76.86,270.0,top
R106,140.8,-74.2,270.0,top
R107,141.25,-75.6,0.0,top
R108,124.5,-80.4,180.0,top
R109,124.49,-79.4,180.0,top
R110,142.09,-93.4,0.0,top
R111,144.11,-93.4,0.0,top
R112,140.3,-92.8,270.0,top
R113,121.55,-91.25,270.0,top
R114,106.75,-71.75,90.0,top
R115,106.75,-73.75,90.0,top
R116,106.75,-75.75,90.0,top
R117,106.75,-77.75,90.0,top
R118,106.75,-79.76,90.0,top
R119,123.0,-83.2,90.0,top
R120,125.39,-84.4,180.0,top
TP101,101.6,-78.74,0.0,top
TP102,101.6,-81.28,0.0,top
TP103,101.6,-91.44,0.0,top
TP104,101.6,-88.9,0.0,top
TP105,101.6,-83.660758,0.0,top
TP106,101.6,-86.36,0.0,top
TP107,107.95,-97.79,90.0,top
TP108,110.49,-97.79,0.0,top
U101,115.4625,-87.85,180.0,top
U102,135.45,-89.395,0.0,top
U103,128.7,-94.7,270.0,top
U104,122.1,-80.6,270.0,top
U105,137.8,-96.6,270.0,top
U106,124.9,-89.7,0.0,top
Y101,113.4625,-95.3,180.0,top
